"course_id","course_name","description","level","price","unit_price","user_id","topic_id","average_rating","review_count","author_name"
"4e26b4bd-d406-4641-9d68-3ba8e1c39c97","Matrix Data Structure Guide","The fundamentals and applications of the matrix as a data structure. You’ll learn how to represent, manipulate, and solve problems involving matrices, including operations like addition, multiplication, transposition, and common algorithms for pathfinding, transformations, and dynamic programming. Perfect for mastering 2D data organization and computation in programming.","Beginner","0.00","VND",NULL,"ed7db5f2-03dc-4a0c-a7c6-5549b1c5c090",NULL,NULL,NULL
"58220cca-f7ec-4188-9921-18e6ea20e4d7","Guide on Recursive Algorithms","A concise guide to understanding and applying recursion in programming. Covers key concepts like base cases, recursive calls, and stack behavior, along with examples in problems such as factorials, Fibonacci sequences, tree traversals, and divide-and-conquer algorithms. Perfect for building efficient and elegant solutions.","Beginner","0.00","VND",NULL,"f16f21af-1f53-4b7d-be4f-368c17574f02",NULL,NULL,NULL
"598d78e5-c34f-437f-88fb-31557168c07b","The Logic Building Problems","Logical thinking and problem-solving skills through practical programming exercises. You’ll learn how to analyze problems, design algorithms, and optimize solutions. By the end of the course, you’ll confidently tackle various problem types, including sorting, searching, recursion, and basic data structures, preparing you for coding challenges and real-world applications.","Beginner","0.00","VND",NULL,"5fe612b4-3998-44c7-85b2-2e4e973a38a7",NULL,NULL,NULL
"6b76ba5c-548f-4dec-86d9-6d32f004f6b9","Guide on Graph Algorithms","An essential guide to exploring graph algorithms and their applications. Covers fundamental concepts like BFS, DFS, shortest path algorithms (Dijkstra, Bellman-Ford), and minimum spanning trees (Kruskal, Prim). Ideal for solving complex network-based problems in various domains.","Intermediate","0.00","VND",NULL,"dd29f271-a9df-4fcc-a742-127dd269f84b",NULL,NULL,NULL
"8ff4ea92-41f2-4d49-b230-0281874efb2d","Introduction to DSA II","A foundational understanding of Data Structures and Algorithms (DSA). You’ll explore key concepts like arrays, linked lists, stacks, queues, trees, and graphs, along with essential algorithms for searching, sorting, and traversal. By mastering these principles, you’ll enhance your problem-solving skills and prepare for advanced programming challenges and technical interviews.","Beginner","0.00","VND",NULL,"f8a1c71a-39ef-406f-b5e3-93b5c4deb5bc",NULL,NULL,NULL
"95713603-63d1-4b75-8a89-1acdc0977459","Stack","The Stack lesson series offers a comprehensive introduction to one of the fundamental data structures in programming. You'll explore how a Stack operates based on the LIFO (Last In, First Out) principle, perform core operations such as push, pop, and peek, and apply these concepts to real-world problems like validating parentheses, converting expressions, or building a browser's backtracking system. This series is ideal for beginners and those looking to strengthen their understanding of data structures.","Beginner","0.00","VND",NULL,"d9fbda58-f71b-4567-affe-4fbab0933feb","1",1,NULL
"a24c71fe-2e77-4352-8449-a448ace4d400","Bitwise Algorithms Guide","An essential guide to bitwise operations and their applications in algorithm design. Covers AND, OR, XOR, shifts, and tricks for solving problems like subsets, power-of-two checks, and fast calculations. Perfect for low-level optimization and competitive programming.","Beginner","0.00","VND",NULL,"95795791-8e54-4cce-8272-c06c15df68fc",NULL,NULL,NULL
"aa613599-339e-4150-afe7-c11818e51f86","Dynamic Programming Guide","A comprehensive guide to dynamic programming, covering principles like overlapping subproblems and optimal substructure. Master classic problems such as knapsack, longest common subsequence, and matrix chain multiplication. Ideal for tackling complex optimization challenges.","Advanced","0.00","VND",NULL,"0a489a2f-a622-4ba9-a94d-70d5624e1309",NULL,NULL,NULL
"bd157822-862c-4b14-80e0-791fb1f7f1f6","Linked List Data Structure Guide","An in-depth guide to understanding and implementing linked lists. Explore concepts like singly, doubly, and circular linked lists, along with common operations such as insertion, deletion, traversal, and reversal. Ideal for mastering dynamic data organization and memory-efficient problem-solving.","Beginner","0.00","VND",NULL,"067b8270-f488-41b8-a741-9d118e9dc6c4",NULL,NULL,NULL
"c9b04774-3a81-43ab-ace6-5242360d9e07","Queue","The Queue lesson series dives into the mechanics of this fundamental data structure, which follows the FIFO (First In, First Out) principle. You’ll learn how to perform operations such as enqueue, dequeue, and peek, while also exploring its variations like Circular Queues and Priority Queues. Practical applications, including task scheduling, buffering, and breadth-first search algorithms, will help solidify your understanding. This series is perfect for beginners and anyone looking to master essential programming concepts.","Beginner","0.00","VND",NULL,"01e7b3b3-a36a-4679-b082-14c2ad622628",NULL,NULL,NULL
"dc8c4016-8dba-4baf-afea-ada6f0c21ae4","Introduction to DSA I
","A foundational understanding of Data Structures and Algorithms (DSA). You’ll explore key concepts like arrays, linked lists, stacks, queues, trees, and graphs, along with essential algorithms for searching, sorting, and traversal. By mastering these principles, you’ll enhance your problem-solving skills and prepare for advanced programming challenges and technical interviews.","Beginner","0.00","VND",NULL,"dbfea360-dda9-46a5-9487-ea624080bb60",NULL,NULL,NULL
"e9d2858c-482e-4b04-8317-b93ce60c3581","Heap Data Structure Guide","A detailed guide to mastering heaps, including min-heaps and max-heaps. Learn heap operations like insertion, deletion, and heapify, along with their applications in priority queues, sorting algorithms, and efficient problem-solving. Essential for optimizing tasks involving hierarchical data.","Beginner","0.00","VND",NULL,"5df3554d-160e-45b9-989a-ebd58ee65235",NULL,NULL,NULL
"f19021ae-42fd-4c25-814c-f06027de04a9","Guide on Greedy Algorithms","A practical guide to greedy algorithms, focusing on solving optimization problems step-by-step. Learn key strategies with examples like activity selection, Huffman coding, and Kruskal’s algorithm. Perfect for building efficient and straightforward solutions.","Beginner","0.00","VND",NULL,"a926fe6d-ded3-4127-9558-599fa430e1f6",NULL,NULL,NULL
